rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
C,128,0.99,2,W3,0.004022183605522967,8.851265316147635e-38,0.001914770808070898,2.5923606742850193e+32,200,1.6591928717148847,7.937292575836182,391,590,708,988
C,128,0.99,2,W4,0.003988645756875496,8.851265316147635e-38,0.0038956848438829184,5.318618832775035e+32,200,1.532948172426208,19.88958168029785,391,590,708,988
C,128,0.99,2,W5,0.0037646113988675425,8.851265316147635e-38,165.4696502685547,2.3935291140831247e+37,100,1.6704753350048038,4.9517927169799805,391,590,708,988
C,256,0.99,0,W1,5.116345658616911e-05,0.0,38.967308044433594,4.147448915697278e+38,100,0.8951343069900448,3.290295124053955,306,371,534,621
C,256,0.99,0,W2,0.008038821227191618,0.0,0.0868634432554245,5.884169688591787e+33,200,1.015914494527084,43.468605041503906,306,371,534,621
C,256,0.99,0,W3,0.007969997165275246,0.0,0.0034728306345641613,2.37282634338269e+32,300,1.6289550902971255,18.92323875427246,306,371,534,621
C,256,0.99,0,W4,0.00796732097244284,0.0,0.003390869125723839,2.3176040058633498e+32,300,1.5942157690147176,63.75263214111328,306,371,534,621
C,256,0.99,0,W5,0.007837919164479025,0.0,1060.059814453125,7.364955201433967e+37,100,2.018868774768288,11.394731521606445,306,371,534,621
C,256,0.99,1,W1,5.321451888688967e-05,5.637936597216682e-38,2.395507335662842,2.45136444908194e+37,100,1.1333568012116735,3.0036375522613525,350,431,544,576
C,256,0.99,1,W2,0.008002638889759644,5.637936597216682e-38,0.008739749900996685,5.94711454050636e+32,200,1.0762644269834392,64.11685943603516,350,431,544,576
C,256,0.99,1,W3,0.008013279785293663,5.637936597216682e-38,0.00012871446961071342,8.746968919172601e+30,300,1.3423629620479036,9.278584480285645,350,431,544,576
C,256,0.99,1,W4,0.007999562839504648,5.637936597216682e-38,0.00015906183398328722,1.0827800606144365e+31,300,1.303133883901927,62.41672897338867,350,431,544,576
C,256,0.99,1,W5,0.008960404620150783,5.637936597216682e-38,17.360260009765625,1.0550404787045122e+36,100,1.4959165645880264,1.9191350936889648,350,431,544,576
C,256,0.99,2,W1,5.318136398137139e-05,1.875578159054341e-38,2.0775270462036133,2.1272950665127397e+37,100,1.3960703773526884,2.9619576930999756,330,443,525,538
C,256,0.99,2,W2,0.008024914410732923,1.875578159054341e-38,0.004699574317783117,3.189030192712588e+32,200,1.589815380740394,29.321666717529297,330,443,525,538
C,256,0.99,2,W3,0.008008264812959222,1.875578159054341e-38,0.0003260492521803826,2.21710009775843e+31,300,1.4915528892193841,28.267730712890625,330,443,525,538
C,256,0.99,2,W4,0.008008333803575827,1.875578159054341e-38,0.00041964356205426157,2.8535068277085245e+31,300,1.604248290434336,70.43295288085938,330,443,525,538
C,256,0.99,2,W5,0.008152896568084914,1.875578159054341e-38,65.61766052246094,4.3827765374889295e+36,100,2.0456372190323093,5.396376609802246,330,443,525,538
C,512,0.99,0,W1,5.112800681283688e-05,0.0,2.064495325088501,2.1988497764613307e+37,100,2.22018225125871,2.6528611183166504,331,331,468,520
C,512,0.99,0,W2,0.015982062717344012,0.0,0.003988537006080151,1.3590058105662877e+32,300,2.029496329541764,36.73424530029297,331,331,468,520
C,512,0.99,0,W3,0.01599011104855504,0.0,0.0002076556847896427,7.071847118542734e+30,400,2.2082901596888402,36.86005401611328,331,331,468,520
